wconfid,pctid,y
3,20,0.5062515628907227
3,20,0.4939984996249063
3,20,0.4993748437109278
3,20,0.5060015003750938
3,20,0.49574893723430863
3,20,0.4984371092773194
3,20,0.4952488122030508
3,20,0.5028132033008252
3,20,0.49868717179294825
3,20,0.4952488122030508
3,20,0.5069392348087022
3,20,0.5003750937734434
3,20,0.4961865466366592
3,20,0.49449862465616407
3,20,0.49743685921480374
3,20,0.49868717179294825
3,20,0.5060015003750938
3,20,0.49693673418354595
3,20,0.4959989997499375
3,20,0.5045011252813204
3,20,0.496686671667917
3,20,0.4949987496874219
3,20,0.5040635158789698
3,20,0.5066891722930733
3,20,0.5071892973243312
3,20,0.5001250312578145
3,20,0.4984371092773194
3,20,0.49356089022255567
3,20,0.4996249062265567
3,20,0.5084396099024756
3,20,0.49693673418354595
3,20,0.4996249062265567
3,20,0.49574893723430863
3,20,0.5066891722930733
3,20,0.4993748437109278
3,20,0.4961865466366592
3,20,0.5069392348087022
3,20,0.49868717179294825
3,20,0.4964366091522881
3,20,0.5066891722930733
3,20,0.4984371092773194
3,20,0.49793698424606153
3,20,0.5062515628907227
3,20,0.49793698424606153
3,20,0.49574893723430863
3,20,0.5040635158789698
3,20,0.4984371092773194
3,20,0.4954988747186797
3,20,0.5057514378594649
3,20,0.505501375343836
3,20,0.5071892973243312
3,20,0.503563390847712
3,20,0.49818704676169046
3,20,0.49281070267566895
3,20,0.5028132033008252
3,20,0.496686671667917
3,20,0.49793698424606153
3,20,0.5020630157539385
3,20,0.4964366091522881
3,20,0.49206051512878224
3,20,0.5015628907226807
3,20,0.49693673418354595
3,20,0.4908727181795449
3,20,0.501375343835959
3,20,0.5052513128282071
3,20,0.5062515628907227
3,20,0.49912478119529885
3,20,0.5011252813203301
3,20,0.5003750937734434
3,20,0.5045011252813204
3,20,0.5091897974493623
3,20,0.501375343835959
3,20,0.5091897974493623
3,20,0.5057514378594649
3,20,0.4949987496874219
3,20,0.4971867966991748
3,20,0.5047511877969493
3,20,0.49424856214053514
3,20,0.4984371092773194
3,20,0.5042510627656914
3,20,0.49449862465616407
3,20,0.4954988747186797
3,20,0.5028132033008252
3,20,0.494748687171793
3,20,0.4954988747186797
3,20,0.5042510627656914
3,20,0.4949987496874219
3,20,0.49574893723430863
3,20,0.5045011252813204
3,20,0.5001250312578145
3,20,0.5060015003750938
3,20,0.49743685921480374
3,20,0.5091897974493623
3,20,0.4971867966991748
3,20,0.49743685921480374
3,20,0.5096274068517129
